0.704 7.84392 3970.6 
0.955 10.6405 4542.33 
1.033 11.5096 10498.5 
1.042 11.6099 23675.3 
1.05 11.699 3635.66 
1.103 12.2895 6450 
1.194 13.3035 9795.56 
1.389 15.4761 6077.01 
1.41 15.7101 8369.09 
1.479 16.4789 19346.9 
1.558 17.3591 12296.6 
1.595 17.7714 24296.2 
1.688 18.8076 13899.3 
1.736 19.3424 14043 
1.493 115.368 3604.2 
1.561 120.623 4500.72 
1.578 121.936 7141.92 
1.69 130.591 2889.71 
1.691 130.668 7147.25 
1.772 136.927 5698.55 
1.838 142.027 4248.06 
1.859 143.65 4261.01 
1.885 145.659 5119.5 
0.977 123.178 4186.18 
1.189 149.906 2702.9 
1.196 150.789 3411.28 
1.527 192.521 6941.43 
1.547 195.042 6986.61 
0.58 27.3688 1352.9 
0.599 28.2654 1473.67 
0.778 36.712 6369.17 
0.822 38.7882 4930.83 
0.96 45.3001 2865.06 
0.961 45.3473 3238.27 
1.185 55.9173 4653.56 
1.489 70.2623 6290.89 
1.593 75.1698 6877.42 
1.886 88.9958 18860.8 
0.638 40.1587 909.57 
1.512 95.1722 3184.03 
1.579 99.3895 3206.73 
1.587 99.8931 3798.9 
0.988 55.0686 539.457 
1.247 69.5045 791.164 
1.255 69.9504 1260.89 
1.277 71.1767 966.39 
1.481 82.5471 1168.64 
1.481 82.5471 1640.44 
1.539 85.7799 1413.16 
1.57 87.5077 2059.89 
1.607 89.57 1304.02 
1.625 90.5733 1262.29 
1.648 91.8552 964.315 
1.651 92.0224 2330.39 
1.652 92.0782 1089.5 
1.803 100.495 1541.76 
1.902 106.013 2345.81 
1.272 108.305 770.462 
1.461 124.398 1065.97 
1.752 149.175 921.531 
1.802 153.433 1664.94 
1.944 165.523 2105.58 
2.147 182.808 2916.49 
1.043 67.6271 570.976 
1.051 68.1459 606.781 
1.057 68.5349 728.838 
1.095 70.9988 764.225 
1.137 73.722 734.201 
1.315 85.2634 720.157 
1.349 87.4679 720.993 
1.444 93.6276 1276.74 
1.693 109.773 1156.4 
1.74 112.82 2720.86 
1.772 114.895 1170.5 
1.783 115.608 1035.45 
1.797 116.516 1176.36 
1.901 123.259 1883.59 
1.906 123.583 1577.91 
2.065 133.893 1863.28 
2.071 134.282 1869.71 
2.114 137.07 2206.22 
2.185 141.673 2417.97 
2.263 146.731 2751.13 
2.298 149 2385.52 
2.474 160.412 2664.03 
2.481 160.866 2545.77 
2.823 183.041 3518.58 
1.34 147.665 933.518 
1.419 156.37 1211.18 
1.475 162.541 1365.43 
1.49 164.194 2150.91 
1.559 171.798 1178.36 
1.615 177.969 1402.83 
1.665 183.479 2627.99 
1.678 184.912 1323.53 
1.729 190.532 1246.66 
1.732 190.862 2319.62 
1.992 219.514 2702.47 
1.993 219.624 1807.49 
2.219 244.528 7408.53 
2.236 246.402 3200.76 
2.247 247.614 4259.46 
2.33 256.76 2351.81 
2.581 284.42 2662.06 
2.588 285.191 3877.71 
2.805 309.104 3103.69 
2.862 315.385 4340.66 
1.412 133.729 3812.02 
1.502 142.252 2742.57 
1.597 151.25 3019.37 
1.609 152.386 3471.29 
1.827 173.033 4719.71 
1.838 174.074 4117.36 
1.877 177.768 10347.6 
1.981 187.618 10992 
2.072 196.236 6306.3 
2.155 204.097 6187.58 
2.795 264.711 8819.68 
1.297 118.975 1400.67 
1.454 133.376 1646.38 
1.511 138.605 5928.13 
1.641 150.53 1616.65 
1.722 157.96 2209.72 
1.863 170.894 6263.19 
1.921 176.215 2424.5 
2.041 187.222 2710.19 
2.118 194.285 3252.79 
2.154 197.588 3135.52 
0.916 91.7494 866.47 
0.937 93.8528 1584.5 
1.044 104.57 912.034 
1.213 121.498 1926.53 
1.222 122.399 1456.16 
1.59 159.259 1673.89 
1.071 148.716 10786.3 
1.257 174.543 1568.74 
1.304 181.069 3797.37 
1.842 255.774 4948.04 
1.914 265.772 10418.5 
1.245 72.08 1439.74 
1.511 87.4803 2118.03 
1.604 92.8645 1846.99 
1.663 96.2804 2064.47 
1.724 99.812 2905.6 
1.842 106.644 4026.53 
1.95 112.896 3492.43 
2.163 125.228 3087.93 
1.916 61.0025 9035.79 
1.947 61.9895 20760.3 
1.99 63.3586 7659.09 
2.269 72.2415 18840.3 
0.949 192.342 8813.03 
1.079 218.69 5194.43 
1.08 218.893 3781.77 
1.097 222.338 6912.98 
1.366 276.859 8459.5 
1.386 280.912 7931.74 
1.431 290.033 17926.6 
1.436 291.046 7760.09 
1.483 300.572 7062.2 
1.496 303.207 7272.45 
1.502 304.423 22873.9 
1.511 306.247 11529.7 
1.52 308.071 7183.25 
1.535 311.111 19861.3 
1.604 325.096 16171.8 
1.676 339.689 7752.84 
